executed_at,level,session,remaining,applied,total,latency_ms,execution_time_ms,notification_count
2026-08-09T20:43:51.670543+05:30,N4,Afternoon,0,850,850,1028.53,1054.93,0
2026-08-09T21:20:59.466389+05:30,N4,Afternoon,0,850,850,1021.31,1293.13,1
2026-08-09T22:08:29.333978+05:30,N4,Afternoon,0,850,850,1135.14,1161.64,0
2026-08-09T22:45:36.402809+05:30,N4,Afternoon,0,850,850,1139.48,1623.93,1
2026-08-09T23:29:47.148936+05:30,N4,Afternoon,0,850,850,1080.57,1107.01,0
2026-08-10T00:24:41.485067+05:30,N4,Afternoon,0,850,850,1009.24,1261.06,1
2026-08-10T01:05:57.054321+05:30,N4,Afternoon,0,850,850,959.15,976.79,0
2026-08-10T01:35:17.401373+05:30,N4,Afternoon,0,850,850,1036.83,1406.58,1
2026-08-10T02:22:33.897522+05:30,N4,Afternoon,0,850,850,1089.07,1115.75,0
2026-08-10T03:05:02.834512+05:30,N4,Afternoon,0,850,850,1148.39,1369.39,1
2026-08-10T03:35:04.836211+05:30,N4,Afternoon,0,850,850,1165.92,1184.55,0
2026-08-10T04:20:55.725861+05:30,N4,Afternoon,0,850,850,917.93,1184.7,1
2026-08-10T05:03:39.819214+05:30,N4,Afternoon,0,850,850,1301.55,1327.54,0
2026-08-10T05:35:53.675729+05:30,N4,Afternoon,0,850,850,1155.9,1376.77,1
2026-08-10T08:05:43.817482+05:30,N4,Afternoon,0,850,850,1101.82,1346.51,1
2026-08-10T09:49:10.747647+05:30,N4,Afternoon,0,850,850,1190.76,1363.26,1
2026-08-10T11:26:17.633441+05:30,N4,Afternoon,0,850,850,1426.61,1616.8,1
2026-08-10T13:20:47.718287+05:30,N4,Afternoon,0,850,850,1319.33,1521.36,1
2026-08-10T14:55:41.062318+05:30,N4,Afternoon,0,850,850,1131.8,1208.7,1
2026-08-10T16:14:40.406387+05:30,N4,Afternoon,0,850,850,1021.77,1213.05,1
2026-08-10T17:06:06.678646+05:30,N4,Afternoon,0,850,850,1062.91,1089.31,0
2026-08-10T18:02:54.511938+05:30,N4,Afternoon,0,850,850,5651.57,6097.26,1
2026-08-10T19:37:05.863521+05:30,N4,Afternoon,0,850,850,1068.55,1352.13,1
2026-08-10T20:47:36.271529+05:30,N4,Afternoon,0,850,850,1083.65,1367.73,1
2026-08-10T21:54:21.260592+05:30,N4,Afternoon,0,850,850,937.14,1205.34,1
2026-08-10T22:56:46.775850+05:30,N4,Afternoon,0,850,850,1107.44,1393.91,1
2026-08-10T23:55:40.042336+05:30,N4,Afternoon,0,850,850,964.14,990.12,0
2026-08-11T01:02:23.281149+05:30,N4,Afternoon,0,850,850,822.03,1256.19,1
2026-08-11T01:54:05.045822+05:30,N4,Afternoon,0,850,850,1106.41,1133.13,0
2026-08-11T02:50:08.342554+05:30,N4,Afternoon,0,850,850,5708.92,5823.38,1
2026-08-11T03:37:47.126460+05:30,N4,Afternoon,0,850,850,1063.7,1085.5,0
2026-08-11T04:27:13.422685+05:30,N4,Afternoon,0,850,850,1074.26,1447.01,1
2026-08-11T05:12:18.730447+05:30,N4,Afternoon,0,850,850,891.69,918.18,0
2026-08-11T06:06:01.924024+05:30,N4,Afternoon,0,850,850,1040.95,1331.03,1
2026-08-11T08:23:36.387307+05:30,N4,Afternoon,0,850,850,965.13,1418.71,1
2026-08-11T09:51:52.624532+05:30,N4,Afternoon,0,850,850,1032.47,1463.74,1
2026-08-11T11:05:53.682585+05:30,N4,Afternoon,0,850,850,990.27,1284.29,1
2026-08-11T12:07:57.701103+05:30,N4,Afternoon,0,850,850,4101.46,4194.32,1
2026-08-11T13:27:17.385961+05:30,N4,Afternoon,0,850,850,1049.99,1326.5,1
2026-08-11T14:38:17.156477+05:30,N4,Afternoon,0,850,850,1317.96,1512.08,1
2026-08-11T15:42:12.830361+05:30,N4,Afternoon,0,850,850,1091.74,1504.15,1
2026-08-11T16:37:07.609976+05:30,N4,Afternoon,0,850,850,1315.03,1341.68,0
2026-08-11T17:28:08.613021+05:30,N4,Afternoon,0,850,850,1106.95,1498.8,1
2026-08-11T18:53:58.215076+05:30,N4,Afternoon,0,850,850,4028.97,4280.65,1
2026-08-11T20:06:50.256620+05:30,N4,Afternoon,0,850,850,950.9,1260.27,1
2026-08-11T21:10:39.309936+05:30,N4,Afternoon,0,850,850,1346.52,1416.84,1
2026-08-11T22:08:19.814313+05:30,N4,Afternoon,0,850,850,1092.16,1109.83,0
2026-08-11T23:12:36.104122+05:30,N4,Afternoon,0,850,850,903.6,1185.6,1
2026-08-12T00:08:43.567714+05:30,N4,Afternoon,0,850,850,1089.83,1117.6,0
2026-08-12T01:17:25.002580+05:30,N4,Afternoon,0,850,850,1167.37,1365.28,1
2026-08-12T02:19:16.044334+05:30,N4,Afternoon,0,850,850,1257.43,1453.23,1
2026-08-12T03:21:58.745009+05:30,N4,Afternoon,0,850,850,1024.93,1311.22,1
2026-08-12T04:15:18.982958+05:30,N4,Afternoon,0,850,850,1169.56,1195.99,0
2026-08-12T04:55:37.880845+05:30,N4,Afternoon,0,850,850,1230.45,1586.2,1
2026-08-12T05:38:07.326854+05:30,N4,Afternoon,0,850,850,1117.51,1140.05,0
2026-08-12T08:16:06.183975+05:30,N4,Afternoon,0,850,850,1160.26,1336.93,1
2026-08-12T10:19:38.988626+05:30,N4,Afternoon,0,850,850,1156.13,1430.97,1
2026-08-12T11:46:33.422565+05:30,N4,Afternoon,0,850,850,965.03,1330.55,1
2026-08-12T13:30:10.419818+05:30,N4,Afternoon,0,850,850,1135.03,2077.76,1
2026-08-12T14:50:14.061323+05:30,N4,Afternoon,0,850,850,1136.24,1443.71,1
2026-08-12T16:05:29.281817+05:30,N4,Afternoon,0,850,850,991.8,1307.04,1
2026-08-12T17:01:14.512914+05:30,N4,Afternoon,0,850,850,1398.54,1420.89,0
2026-08-12T18:03:10.434107+05:30,N4,Afternoon,0,850,850,1180.86,1468.83,1
2026-08-12T19:37:01.577589+05:30,N4,Afternoon,0,850,850,1095.25,1596.36,1
2026-08-12T20:45:05.995268+05:30,N4,Afternoon,0,850,850,1175.87,1267.14,1
2026-08-12T21:43:14.540581+05:30,N4,Afternoon,0,850,850,1383.71,1409.98,0
2026-08-12T22:45:52.503985+05:30,N4,Afternoon,0,850,850,1019.19,1443.25,1
2026-08-12T23:57:05.473863+05:30,N4,Afternoon,0,850,850,1221.6,1726.05,1
2026-08-13T01:10:12.531787+05:30,N4,Afternoon,0,850,850,926.8,1200.64,1
2026-08-13T01:53:25.503903+05:30,N4,Afternoon,0,850,850,1191.92,1218.87,0
2026-08-13T02:51:08.317352+05:30,N4,Afternoon,0,850,850,5066.19,7298.34,1
2026-08-13T03:41:44.687111+05:30,N4,Afternoon,0,850,850,1249.03,1271.88,0
2026-08-13T04:34:01.925273+05:30,N4,Afternoon,0,850,850,940.74,1301.89,1
2026-08-13T05:29:35.323695+05:30,N4,Afternoon,0,850,850,821.29,850.94,0
2026-08-13T08:08:50.115678+05:30,N4,Afternoon,0,850,850,1827.98,2331.42,1
2026-08-13T10:00:58.462420+05:30,N4,Afternoon,0,850,850,1042.81,1262.35,1
2026-08-13T11:36:59.720985+05:30,N4,Afternoon,0,850,850,1138.43,1419.57,1
2026-08-13T13:24:32.075312+05:30,N4,Afternoon,0,850,850,1044.99,1292.44,1
2026-08-13T14:45:35.730571+05:30,N4,Afternoon,0,850,850,1231.64,1460.66,1
2026-08-13T16:07:31.523600+05:30,N4,Afternoon,0,850,850,1277.5,1922.79,1
2026-08-13T16:59:40.851504+05:30,N4,Afternoon,0,850,850,1395.73,1423.24,0
2026-08-13T17:58:00.280335+05:30,N4,Afternoon,0,850,850,856.81,1166.18,1
2026-08-13T19:31:40.425912+05:30,N4,Afternoon,0,850,850,1424.41,1662.99,1
2026-08-13T20:46:02.017982+05:30,N4,Afternoon,0,850,850,2422.78,2754.73,1
2026-08-13T21:55:14.817228+05:30,N4,Afternoon,0,850,850,1390.88,1578.78,1
2026-08-13T22:59:37.400771+05:30,N4,Afternoon,0,850,850,1082.96,1364.85,1
2026-08-14T00:00:43.718593+05:30,N4,Afternoon,0,850,850,1215.86,1427.87,1
2026-08-14T01:14:59.806164+05:30,N4,Afternoon,0,850,850,1321.9,1387.23,1
2026-08-14T01:54:05.490834+05:30,N4,Afternoon,0,850,850,1462.2,1489.2,0
2026-08-14T02:52:24.731038+05:30,N4,Afternoon,0,850,850,1315.73,1431.91,1
2026-08-14T03:42:25.209080+05:30,N4,Afternoon,0,850,850,1086.7,1109.43,0
